"CBSA","CBSA.Code","Year","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.for.Sensitive.Groups.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","X90th.Percentile.AQI","Median.AQI","Days.CO","Days.NO2","Days.Ozone","Days.PM2.5","Days.PM10"
"Aberdeen, SD",10100,2014,119,111,8,0,0,0,0,83,42,23,0,0,0,103,16
"Aberdeen, WA",10140,2014,365,342,23,0,0,0,0,68,40,20,0,0,0,365,0
"Adjuntas, PR",10260,2014,42,40,2,0,0,0,0,55,41,18,0,0,0,42,0
"Adrian, MI",10300,2014,345,243,99,3,0,0,0,129,65,42,0,0,132,213,0
"Akron, OH",10420,2014,365,302,62,1,0,0,0,107,59,34,100,0,174,91,0
"Albany, GA",10500,2014,359,216,142,1,0,0,0,111,65,45,0,0,0,359,0
"Albany, OR",10540,2014,365,319,44,2,0,0,0,130,54,25,0,0,0,365,0
"Albany-Schenectady-Troy, NY",10580,2014,365,311,54,0,0,0,0,87,54,37,0,0,234,131,0
"Albuquerque, NM",10740,2014,365,191,173,1,0,0,0,105,74,50,0,3,236,66,60
"Alexandria, LA",10780,2014,290,199,90,1,0,0,0,106,58,41,0,0,0,290,0
"Allentown-Bethlehem-Easton, PA-NJ",10900,2014,365,217,145,3,0,0,0,118,73,47,0,10,167,187,1
"Altoona, PA",11020,2014,365,225,138,2,0,0,0,108,64,45,0,0,144,220,1
"Amarillo, TX",11100,2014,364,287,76,1,0,0,0,120,61,42,0,0,315,49,0
"Americus, GA",11140,2014,244,229,15,0,0,0,0,77,49,38,0,0,244,0,0
"Ames, IA",11180,2014,214,190,24,0,0,0,0,90,51,37,0,0,214,0,0
"Anchorage, AK",11260,2014,365,246,106,10,2,1,0,231,81,35,3,0,72,186,104
"Ann Arbor, MI",11460,2014,365,249,112,4,0,0,0,126,67,43,0,0,176,189,0
"Appleton, WI",11540,2014,365,257,105,3,0,0,0,111,63,41,0,0,149,216,0
"Ardmore, OK",11620,2014,357,264,87,6,0,0,0,136,74,44,0,0,276,81,0
"Arkadelphia, AR",11660,2014,352,342,10,0,0,0,0,90,45,33,0,0,352,0,0
"Asheville, NC",11700,2014,364,263,100,1,0,0,0,105,64,43,0,0,177,187,0
"Ashtabula, OH",11780,2014,213,176,35,2,0,0,0,119,64,41,0,0,213,0,0
"Athens, OH",11900,2014,56,45,11,0,0,0,0,67,54,29,0,0,0,56,0
"Athens, TN",11940,2014,273,232,41,0,0,0,0,84,54,39,0,0,202,71,0
"Athens-Clarke County, GA",12020,2014,356,239,117,0,0,0,0,92,61,42,0,0,108,248,0
"Atlanta-Sandy Springs-Roswell, GA",12060,2014,365,132,215,17,1,0,0,159,80,55,0,3,122,240,0
"Atlantic City-Hammonton, NJ",12100,2014,363,332,30,0,1,0,0,167,50,37,0,0,322,41,0
"Augusta-Richmond County, GA-SC",12260,2014,363,227,136,0,0,0,0,92,64,45,0,0,142,221,0
"Augusta-Waterville, ME",12300,2014,286,279,7,0,0,0,0,87,43,29,0,59,204,0,23
"Austin-Round Rock, TX",12420,2014,365,249,116,0,0,0,0,97,67,44,0,12,188,164,1
"Bakersfield, CA",12540,2014,365,32,173,117,42,0,1,307,154,97,0,0,230,127,8
"Baltimore-Columbia-Towson, MD",12580,2014,365,153,207,5,0,0,0,136,75,53,0,9,116,240,0
"Bangor, ME",12620,2014,365,340,25,0,0,0,0,76,47,33,0,0,227,136,2
"Baraboo, WI",12660,2014,365,306,56,3,0,0,0,115,54,36,0,0,169,193,3
"Barnstable Town, MA",12700,2014,363,351,12,0,0,0,0,84,45,35,0,0,355,8,0
"Baton Rouge, LA",12940,2014,365,172,180,12,1,0,0,156,80,52,1,8,135,220,1
"Bay City, MI",13020,2014,348,277,71,0,0,0,0,96,55,34,0,0,0,348,0
"Beaumont-Port Arthur, TX",13140,2014,365,244,116,5,0,0,0,133,66,44,0,0,197,168,0
"Beaver Dam, WI",13180,2014,365,280,80,5,0,0,0,108,61,40,0,0,247,117,1
"Beckley, WV",13220,2014,8,8,0,0,0,0,0,24,24,18,0,0,0,8,0
"Bellingham, WA",13380,2014,339,302,37,0,0,0,0,79,52,31,0,0,84,255,0
"Bemidji, MN",13420,2014,88,82,6,0,0,0,0,64,45,17,0,0,0,88,0
"Bend-Redmond, OR",13460,2014,365,325,39,1,0,0,0,113,51,32,0,0,133,232,0
"Bennington, VT",13540,2014,362,326,36,0,0,0,0,90,50,36,0,0,269,93,0
"Berlin, NH-VT",13620,2014,365,315,50,0,0,0,0,97,54,43,0,0,363,2,0
"Billings, MT",13740,2014,324,287,37,0,0,0,0,76,52,25,0,0,0,324,0
"Birmingham-Hoover, AL",13820,2014,365,158,201,6,0,0,0,119,74,53,0,7,72,284,2
"Bishop, CA",13860,2014,365,233,117,6,5,1,3,911,83,47,0,0,294,28,43
"Bismarck, ND",13900,2014,365,331,33,1,0,0,0,127,50,36,0,5,290,67,3
"Blacksburg-Christiansburg-Radford, VA",13980,2014,354,323,31,0,0,0,0,90,50,39,0,0,354,0,0
"Bloomington, IL",14010,2014,363,317,46,0,0,0,0,100,54,36,0,0,339,24,0
"Bloomington, IN",14020,2014,363,260,102,0,1,0,0,157,61,40,0,0,126,237,0
"Boise City, ID",14260,2014,365,291,73,0,1,0,0,156,61,40,2,60,252,31,20
"Boone, NC",14380,2014,116,107,9,0,0,0,0,58,49,28,0,0,0,116,0
"Boston-Cambridge-Newton, MA-NH",14460,2014,365,203,157,5,0,0,0,112,66,48,0,17,129,217,2
"Boulder, CO",14500,2014,360,261,94,5,0,0,0,126,71,44,0,0,332,27,1
"Bowling Green, KY",14540,2014,365,285,80,0,0,0,0,100,62,40,0,0,273,92,0
"Bozeman, MT",14580,2014,365,325,40,0,0,0,0,85,51,25,0,10,0,355,0
"Brainerd, MN",14660,2014,365,329,36,0,0,0,0,80,50,31,0,0,178,187,0
"Branson, MO",14700,2014,263,245,18,0,0,0,0,77,49,35,0,0,193,70,0
"Bremerton-Silverdale, WA",14740,2014,362,354,8,0,0,0,0,70,34,17,0,0,0,362,0
"Bridgeport-Stamford-Norwalk, CT",14860,2014,365,212,139,12,2,0,0,164,84,48,0,12,155,198,0
"Brookings, SD",15100,2014,362,327,34,1,0,0,0,108,50,35,0,0,293,41,28
"Brownsville-Harlingen, TX",15180,2014,365,251,114,0,0,0,0,99,66,43,0,0,137,228,0
"Brunswick, GA",15260,2014,332,287,45,0,0,0,0,88,54,37,0,0,144,188,0
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,2014,365,248,116,1,0,0,0,101,63,43,0,7,167,191,0
"Burlington, NC",15500,2014,365,308,57,0,0,0,0,73,53,35,0,0,0,365,0
"Burlington-South Burlington, VT",15540,2014,365,321,44,0,0,0,0,83,53,37,0,3,253,109,0
"Butte-Silver Bow, MT",15580,2014,362,279,82,1,0,0,0,108,61,30,0,0,0,325,37
"Cadillac, MI",15620,2014,365,320,45,0,0,0,0,100,52,38,0,0,276,89,0
"Cambridge, MD",15700,2014,365,277,88,0,0,0,0,90,62,43,0,0,258,107,0
"Canton-Massillon, OH",15940,2014,365,282,81,2,0,0,0,108,64,41,2,0,132,231,0
"Cape Coral-Fort Myers, FL",15980,2014,365,306,59,0,0,0,0,93,54,38,0,0,255,106,4
"Carlsbad-Artesia, NM",16100,2014,363,275,84,4,0,0,0,115,64,40,0,4,317,42,0
"Carson City, NV",16180,2014,365,265,96,3,1,0,0,162,71,44,0,0,205,160,0
"Casper, WY",16220,2014,365,330,35,0,0,0,0,77,50,41,0,15,345,5,0
"Ca¤on City, CO",15860,2014,59,58,1,0,0,0,0,51,27,15,0,0,0,0,59
"Cedar Rapids, IA",16300,2014,365,249,115,1,0,0,0,112,64,43,0,0,131,232,2
"Centralia, WA",16500,2014,365,342,23,0,0,0,0,75,45,23,0,0,0,365,0
"Chambersburg-Waynesboro, PA",16540,2014,337,311,26,0,0,0,0,87,49,38,0,0,337,0,0
"Champaign-Urbana, IL",16580,2014,365,301,63,1,0,0,0,101,61,38,0,0,312,53,0
"Charleston, WV",16620,2014,364,302,62,0,0,0,0,100,58,35,0,0,181,82,101
"Charleston-North Charleston, SC",16700,2014,365,291,74,0,0,0,0,87,56,39,0,4,129,232,0
"Charlotte-Concord-Gastonia, NC-SC",16740,2014,365,212,148,5,0,0,0,115,72,48,0,3,215,147,0
"Charlottesville, VA",16820,2014,364,320,44,0,0,0,0,77,52,35,0,0,108,256,0
"Chattanooga, TN-GA",16860,2014,365,229,135,1,0,0,0,105,64,44,0,0,144,221,0
"Cheyenne, WY",16940,2014,365,292,73,0,0,0,0,97,61,44,1,10,319,32,3
"Chicago-Naperville-Elgin, IL-IN-WI",16980,2014,365,61,286,17,1,0,0,155,87,62,0,15,53,275,22
"Chico, CA",17020,2014,365,173,178,12,2,0,0,155,84,52,0,0,228,137,0
"Cincinnati, OH-KY-IN",17140,2014,365,105,247,13,0,0,0,143,84,58,0,25,102,236,2
"Claremont-Lebanon, NH-VT",17200,2014,365,324,40,1,0,0,0,101,51,36,0,0,258,107,0
"Clarksburg, WV",17220,2014,120,95,25,0,0,0,0,72,54,33,0,0,0,120,0
"Clarksville, TN-KY",17300,2014,364,261,102,1,0,0,0,101,64,43,0,0,218,146,0
"Clearlake, CA",17340,2014,357,335,22,0,0,0,0,93,48,37,0,0,352,4,1
"Cleveland, MS",17380,2014,209,195,14,0,0,0,0,90,49,37,0,0,209,0,0
"Cleveland-Elyria, OH",17460,2014,365,180,175,9,1,0,0,173,80,51,5,9,111,219,21
"Clinton, IA",17540,2014,365,184,177,4,0,0,0,124,71,50,0,0,95,270,0
"Colorado Springs, CO",17820,2014,365,277,88,0,0,0,0,90,64,44,0,0,355,10,0
"Columbia, MO",17860,2014,214,190,24,0,0,0,0,87,51,38,0,0,214,0,0
"Columbia, SC",17900,2014,365,239,126,0,0,0,0,93,64,45,0,0,154,208,3
"Columbus, GA-AL",17980,2014,365,246,117,2,0,0,0,108,63,42,0,0,110,255,0
"Columbus, IN",18020,2014,364,263,100,1,0,0,0,108,66,40,0,98,146,120,0
"Columbus, OH",18140,2014,365,214,144,7,0,0,0,115,71,47,0,16,130,218,1
"Concord, NH",18180,2014,297,274,22,1,0,0,0,101,48,31,0,0,246,51,0
"Cookeville, TN",18260,2014,109,91,18,0,0,0,0,83,57,34,0,0,0,109,0
"Corning, NY",18500,2014,365,346,19,0,0,0,0,77,46,33,11,0,284,70,0
"Corpus Christi, TX",18580,2014,365,260,104,1,0,0,0,105,63,42,0,0,169,195,1
"Corsicana, TX",18620,2014,364,278,86,0,0,0,0,93,58,41,0,3,200,161,0
"Corvallis, OR",18700,2014,364,344,19,1,0,0,0,115,40,16,0,0,0,364,0
"Craig, CO",18780,2014,270,236,34,0,0,0,0,90,51,43,0,0,270,0,0
"Crawfordsville, IN",18820,2014,149,92,57,0,0,0,0,77,63,44,0,0,0,149,0
"Crescent City, CA",18860,2014,115,112,3,0,0,0,0,55,33,12,0,0,0,115,0
"Crestview-Fort Walton Beach-Destin, FL",18880,2014,364,336,27,1,0,0,0,115,47,35,0,0,348,0,16
"Cullowhee, NC",19000,2014,264,205,58,1,0,0,0,119,67,44,0,0,205,59,0
"Dallas-Fort Worth-Arlington, TX",19100,2014,365,176,162,24,3,0,0,164,90,51,0,21,200,141,3
"Dalton, GA",19140,2014,266,232,33,1,0,0,0,108,54,38,0,0,217,49,0
"Daphne-Fairhope-Foley, AL",19300,2014,280,232,46,2,0,0,0,112,59,38,0,0,205,75,0
"Davenport-Moline-Rock Island, IA-IL",19340,2014,365,119,242,4,0,0,0,111,78,56,0,0,49,214,102
"Dayton, OH",19380,2014,365,192,169,4,0,0,0,119,71,48,0,0,142,223,0
"Decatur, AL",19460,2014,284,238,46,0,0,0,0,93,56,39,0,0,209,75,0
"Decatur, IL",19500,2014,365,259,106,0,0,0,0,90,63,41,0,0,218,147,0
"Deltona-Daytona Beach-Ormond Beach, FL",19660,2014,365,312,52,1,0,0,0,108,56,39,0,0,260,105,0
"Deming, NM",19700,2014,364,305,55,2,1,1,0,224,54,44,0,31,289,0,44
"Denver-Aurora-Lakewood, CO",19740,2014,365,102,229,33,1,0,0,152,100,63,0,50,252,54,9
"Des Moines-West Des Moines, IA",19780,2014,365,285,80,0,0,0,0,100,59,38,0,30,126,206,3
"Detroit-Warren-Dearborn, MI",19820,2014,365,147,205,13,0,0,0,147,83,54,0,7,80,247,31
"Dickinson, ND",19860,2014,365,358,7,0,0,0,0,58,45,36,0,0,352,13,0
"Dodge City, KS",19980,2014,365,362,3,0,0,0,0,69,24,7,0,0,0,0,365
"Dothan, AL",20020,2014,279,241,38,0,0,0,0,80,52,38,0,0,212,67,0
"Douglas, GA",20060,2014,61,55,6,0,0,0,0,66,50,35,0,0,0,61,0
"Dover, DE",20100,2014,364,295,68,1,0,0,0,108,59,42,0,0,225,139,0
"DuBois, PA",20180,2014,263,250,13,0,0,0,0,93,46,32,0,0,263,0,0
"Duluth, MN-WI",20260,2014,365,295,70,0,0,0,0,87,56,38,0,0,174,181,10
"Durango, CO",20420,2014,365,280,84,1,0,0,0,101,64,44,0,0,364,1,0
"Durant, OK",20460,2014,333,293,38,2,0,0,0,126,51,39,0,0,333,0,0
"Durham-Chapel Hill, NC",20500,2014,365,294,71,0,0,0,0,93,56,40,0,0,155,210,0
"Dyersburg, TN",20540,2014,109,85,24,0,0,0,0,80,59,34,0,0,0,109,0
"Eagle Pass, TX",20580,2014,337,255,82,0,0,0,0,79,59,36,0,0,0,337,0
"East Stroudsburg, PA",20700,2014,364,273,91,0,0,0,0,77,59,40,0,0,212,152,0
"Eau Claire, WI",20740,2014,354,308,46,0,0,0,0,93,52,35,0,0,205,149,0
"Effingham, IL",20820,2014,212,187,25,0,0,0,0,90,51,38,0,0,212,0,0
"El Centro, CA",20940,2014,365,46,265,45,5,2,2,359,112,67,0,2,109,160,94
"El Dorado, AR",20980,2014,121,94,27,0,0,0,0,70,56,35,0,0,0,121,0
